race,category,bib,name,id,place,catPlace,sexPlace,sex,age,team,netTime
21KM,21KM - ATE 59 ANOS - FEMININO,1,7b4b8a9111556f2117a070db7aad413047f592f8,17da338a61eaa5de27389ccafa783446810371e9,321,58,153,F,45,ADELMA BARBOSA FERREIRA,03:04:09.754
21KM,21KM - ATE 59 ANOS - MASCULINO,2,42f9cc9fd77ade6f1d846bf48cd13315d9a9c5af,b8d4cb61565e2dd8d66f4a8bfdd7f26ca0cfb959,320,88,167,M,37,LG Running,03:03:18.628
21KM,21KM - ATE 59 ANOS - MASCULINO,3,9b9de2219c27968885b4c6de2c92249c56efb790,2597923a7ee96141de5adeeca692f38b8ac113bb,295,78,157,M,47,,02:45:15.370
21KM,21KM - ATE 59 ANOS - FEMININO,5,99b7be58f8400dd76cf14376801b4b8622491d47,89ef2701c12563f9886f5905993eab7e52c4e5fd,259,30,123,F,37,Superando Limites,02:28:28.113
21KM,21KM - ATE 59 ANOS - MASCULINO,7,274c0e32adcd244e66f941f128aa810c2b148c00,a348d93cc307bb2161478f5e5ec1b268d4e99fac,311,84,163,M,29,Papa-léguas,02:58:07.521
21KM,21KM - ATE 59 ANOS - MASCULINO,8,79d3ed7844d68cf4adbdbe36cb54a6f693e1b7e0,993bde76a8bd3d60b2b5bb5acd22eb79ceaf5af6,248,55,132,M,44,triboteam,02:24:04.218
21KM,21KM - ATE 59 ANOS - MASCULINO,9,fe634a7bbf563b9933e1a99a666b4d806f549450,54070c9e252225a9c4b891df9524058c65207fbb,241,51,128,M,41,FISIOCLIN,02:20:25.392
21KM,21KM - ATE 59 ANOS - MASCULINO,10,4a7a4e64962ac2eab048a06707a74c7bdfb8b6a9,11f77ad924b73896bce072c600d94a3d7c5817ae,300,79,158,M,49,avulso,02:48:03.095
21KM,21KM - ATE 59 ANOS - FEMININO,11,34a2abc471885f4d057109563bbf0b697acc2f89,588b3de50c25d845b360080ad5efd001c0836525,243,22,115,F,38,Papaléguas Turbo,02:21:27.182
10KM,10KM - ATE 59 ANOS - FEMININO,13,08a3589ac051a546bbf62aa09a89cf774d679d10,34c0118bb687ddb4cf7829c2ba24dd55d975dec7,38,7,7,F,42,Ademir Paulino,01:11:47.132
21KM,21KM - ATE 59 ANOS - MASCULINO,14,f010c11c0ee5400131ffc33f64ef66fef12e914b,da39a3ee5e6b4b0d3255bfef95601890afd80709,215,36,112,M,,,02:09:23.689
21KM,21KM - ATE 59 ANOS - MASCULINO,15,69f4d880ab4a70f7d5ed7f931554721411bad39a,3666e9bb11231617121d5f70e807027ba17e0415,216,37,113,M,32,Papaleguas Turbo,02:10:34.891
21KM,21KM - ATE 59 ANOS - MASCULINO,16,eac6795717aab1287e57895b86084897e9b7dee4,fe59761a31aa078411c6e4fc20eb162719188c7f,264,62,139,M,52,Life Sport - Foz do Amazonas,02:31:44.558
21KM,21KM - ATE 59 ANOS - FEMININO,17,ae008fa0f6be8e84ba80276c2c9452f5835059e3,83920cd0db362453dd6737f6ea019a523fd0b756,224,15,107,F,44,Equipe Águia,02:13:46.450
21KM,21KM - ATE 59 ANOS - MASCULINO,18,7723954f9203cad2003296ea1a716bf6aee4a80a,163bc28c9a8be5f4966cbfeabcfe9c9112a68289,190,24,99,M,47,Tony Js,01:58:37.968
21KM,21KM - ATE 59 ANOS - FEMININO,19,5419bcfaacea79f36518dcee9cc2fbebcb32e187,f14a6fb1197a1f6e5d6f6dab2aeb775a6f71fa13,202,8,98,F,35,Ademir Paulino,02:02:31.736
