race,category,bib,name,id,place,catPlace,sexPlace,sex,age,team,netTime
TRILHA - 15Km,TRILHA 15Km - GERAL MASCULINO,100,2eb4b08ae78526ca485c914e2804e4ae449556a0,d6af44437daf38326053f6876983f948fe911154,4,4,4,M,46,,01:15:48.615
TRILHA - 15Km,TRILHA 15Km - GERAL FEMININO,101,5c098c6e40a7796e638db1a193392ef0ede1740d,7e7dc48b423bc60d88d5afb35481774102f364fd,136,50,64,F,34,,02:42:15.332
TRILHA - 15Km,TRILHA 15Km - GERAL FEMININO,104,5ab00b9071457f458365ca8463953b58d937402a,50865f28fe3baf551f63a5afe379e88313324ae5,18,5,5,F,43,,01:33:23.749
TRILHA - 15Km,TRILHA 15Km - GERAL MASCULINO,105,97ca635c9e54716621206b6714ee03c8bc15cfa7,0eaa12cd39f29eeb825e31daada1afffb53f4181,113,54,63,M,32,,02:26:05.414
TRILHA - 15Km,TRILHA 15Km - GERAL FEMININO,106,615483d393c31ff54b7c48b743c410bc4ba16cd1,74b6a20ec1715b0d475055e0109d3a7a777b6510,128,48,61,F,39,,02:31:55.244
TRILHA - 15Km,TRILHA 15Km - MASTER: 50+ FEMININO,107,0ea41fed2fc00e7633ed03a6c131b073aa42699f,edb93a9256b5d790b1d35369a1d84690db663607,92,4,35,F,58,,02:19:53.986
TRILHA - 15Km,TRILHA 15Km - GERAL FEMININO,108,3baf1c39ef65325fc3bfdbc1b9289ba4c70c420a,fcf4a01d7473387287507ea61c219bcf7e0d2bed,39,9,10,F,35,,01:47:35.713
TRILHA - 15Km,TRILHA 15Km - GERAL FEMININO,109,9dcb12c6c06d00f016584be8afc5a35d99d07573,79b5eda19fee1c1442c64b3efb5ab61c290bce29,72,23,24,F,47,,02:03:03.271
TRILHA - 15Km,TRILHA 15Km - GERAL FEMININO,110,f9d7883b33163bec3fe484d13dd3ebac071702d1,220807638bfecbd3a2f615ee45afaebe18dde109,146,59,73,F,23,,03:09:58.223
TRILHA - 15Km,TRILHA 15Km - GERAL FEMININO,111,6b763b4a9049d7bc0c83866f83b101555d9704c7,5305032fe88fae34f138c06776095bbac246333c,77,26,27,F,38,,02:04:02.188
TRILHA - 15Km,TRILHA 15Km - GERAL MASCULINO,113,ff3e559e88f87c34cbc89a7586a78bf45aa2c875,a64e8ab2cd609a46861ac5a2c5e4c9ea6c4e231f,41,27,30,M,35,,01:49:31.802
TRILHA - 15Km,TRILHA 15Km - MASTER: 50+ FEMININO,115,6baf68fde0c04c54281d7ff2c484e2797206fb1e,31dafd650a403e6603b55aa0e2c122359b080cee,96,6,39,F,52,,02:20:02.378
TRILHA - 15Km,TRILHA 15Km - GERAL MASCULINO,116,68c882c074ccfce63c95ad2a46c68b874b8e1e47,b5af789cac61576ba01f65bc441459269c379f26,33,22,25,M,41,,01:45:12.570
