race,category,bib,name,id,place,catPlace,sexPlace,sex,age,team,netTime
21KM,21KM - 60 ANOS E ACIMA - Masculino,1,5cd0e42828a14c7d2bc0220bea764da5065cd220,e000f1ec29b7af7d18d97a0d398dd24c9e262e8a,158,1,92,M,60,PÉ DURO,02:36:17.484
21KM,21KM - ATE 59 ANOS - Masculino,2,4e70f48c9b80d9915895fa91db405b5267409669,39362538cf35a3a7c9f5f9ee83c6ea4d7b97b110,102,8,51,M,42,,01:46:25.697
21KM,21KM - ATE 59 ANOS - Feminino,3,847b14f80109359ea08b890b7204c803b1442ade,a1961767ab5ba0e4014e9be1c02b790c0589f676,165,15,71,F,22,SQUAD,02:47:22.832
21KM,21KM - ATE 59 ANOS - Masculino,4,3caa4cb211aa4ebc7eed6c30ea94a59a7dc253a6,e4715b0feacdd5b585d0a78ac0c58a4e385b5be3,104,10,53,M,27,JOSÉ PAULO BATISTA RIBEIRO,01:47:14.288
21KM,21KM - ATE 59 ANOS - Masculino,5,c7093f04f91fc66910ca1290499e493c92148070,1fe1e9ecd06146c7f05d2c85b11e45ad94e264af,152,43,87,M,47,EQUIPE GUSTAVO BORGES / CAMED SAÚDE,02:32:16.388
21KM,21KM - ATE 59 ANOS - Masculino,6,8ed946ec753dbb9cdba4eb6d5f0390692507f1f7,de1e9fc0a5322314ec601332f9c990f4979b05f6,148,39,83,M,33,SQUAD,02:30:49.618
21KM,21KM - ATE 59 ANOS - Feminino,7,cd0423acd57d14dc074e729f50d1a6c8d24d3041,09c713c44280c3a614ed84b0a4780d524c2016de,159,12,67,F,40,MANAS RUN,02:37:02.793
21KM,21KM - ATE 59 ANOS - Masculino,8,161d2df6d8ef43d543c164b1a83502a5f4f85093,65dc668f989d90c6e776fa5a32b74b605fb53b88,100,6,49,M,38,ADEMIR PAULINO,01:43:41.808
21KM,21KM - ATE 59 ANOS - Feminino,9,e986f70d927e791d4d89248f47e45599f53162ee,27ed81329361b177a7d7d1cb6ec1064da3c424ef,166,16,72,F,30,SQUAD,02:49:58.696
21KM,21KM - ATE 59 ANOS - Feminino,10,27c01400084b77b2cde08306df1b6b90587894c8,83eababcce673e4d129c0527eab8fabd395b1052,171,21,77,F,26,SQUAD,02:59:08.229
21KM,21KM - ATE 59 ANOS - Masculino,11,92cfc9f0ea9c9dffae0918d1bd6a0e7753ae36be,ca8af449b744a9f1a4320a8d5cf7b60ed4a2c467,132,28,72,M,43,EQUIPE GUSTAVO BORGES,02:21:49.614
21KM,21KM - ATE 59 ANOS - Masculino,12,e04faf0d63ad481651edc3e9ab9d8511f8b391dd,362084c4aca3d2a118fd2bac521274c8c03762c2,78,2,41,M,26,,01:19:47.574
21KM,21KM - ATE 59 ANOS - Feminino,13,18f27e54d14081c4addde6c4d999a556af25e301,fec57ce153e26659b2e8035d2d9c4ae6de2b64f8,167,17,73,F,48,,02:50:07.554
21KM,21KM - ATE 59 ANOS - Feminino,14,c991d46ed2082493d4be136c9a31a56485c72a3d,d1419b239c4e497ce969997245da2396de5cf2b8,170,20,76,F,43,LILIA,02:50:41.995
10KM,10KM - ATE 59 ANOS - Feminino,15,c90c919535468322eca2fee1c78142f3eb4b6455,056766228badfc6205684523efedd543a7da4e96,35,9,9,F,33,PRA CIMA DELAS,01:04:07.371
