race,category,bib,name,id,place,catPlace,sexPlace,sex,age,team,netTime
21KM,21KM - ATE 59 ANOS - FEMININO,1,a991436dd80232a0e7f670ef520d98bbacfc5e07,904f592d1f793f5de74cab50682d7b7db2f7ab2c,235,4,125,F,41,R3mo Turismo,02:28:29.649
21KM,21KM - ATE 59 ANOS - MASCULINO,2,37b10b493d8ced9ca06d9978648b390d1bbe3b7f,96b67b653f7742a6fc1f1913ba40bc00e17fee42,241,28,115,M,48,COCI,02:36:03.577
21KM,21KM - ATE 59 ANOS - MASCULINO,3,42cbd9866c37bcc5b262ca41d82b1083806ee50b,ad90e5e15b9e7a89114720bf1908239790fa0fc1,213,13,98,M,31,,02:01:36.760
21KM,21KM - ATE 59 ANOS - MASCULINO,5,987645e05ba936c072defbb7aea2288972cdd7aa,079765179ea47c8e406bbe8de904f27100b54b5a,245,30,117,M,40,Actionrun,02:38:04.675
21KM,21KM - ATE 59 ANOS - MASCULINO,6,38f5956492d3c42181e223008f8b06954073d78c,8e290c17eeb8c43267241b05c30db87cbb38c68b,209,11,95,M,41,Actionrun,01:59:59.717
21KM,21KM - ATE 59 ANOS - MASCULINO,7,8815db3abe448d93c7655d5ef27c563ecc233d87,b50db91db8818774ca630c38d4fd4ac251365c7b,236,25,111,M,29,FIT AGRO,02:28:55.189
21KM,21KM - ATE 59 ANOS - FEMININO,8,fa90fd4fafcf2f47d79cef30af7726d69d86318b,6b8de59b0293012672b9b6f721b2867ba33801dc,242,6,127,F,37,ACTION RUN - RUNNERS FITS,02:38:04.030
21KM,21KM - ATE 59 ANOS - MASCULINO,9,4efbc81b68e1427b3db7c5c03437c4a40a7fd60e,7f18a0daecc5c0eaf8ac7b398dcac255acaec393,234,24,110,M,28,BELLAMAX,02:27:21.828
21KM,21KM - ATE 59 ANOS - FEMININO,10,84305d04b9af8139a3302475712a46ae7a60163e,3ef40c5bf886abfe6f97e7510eca6fe5958da608,257,15,136,F,32,Wizard Runners,02:52:31.732
21KM,21KM - ATE 59 ANOS - MASCULINO,11,7723954f9203cad2003296ea1a716bf6aee4a80a,163bc28c9a8be5f4966cbfeabcfe9c9112a68289,225,19,105,M,47,Tony Js,02:14:36.287
21KM,21KM - ATE 59 ANOS - FEMININO,12,b7115b2930670413e0547d22381ba5d55c15cf33,6698f5470104b2a0a36c06785e54f32b9e100454,205,1,113,F,38,Percurso livre,01:58:09.050
21KM,21KM - ATE 59 ANOS - MASCULINO,13,ae3f63c6b92106ece2926d52fc61394d7dc744e1,fb987827dcc36182958aef16d8631dc3d7fe5138,215,14,99,M,33,RUNNING FREE-SG,02:04:09.005
21KM,21KM - 60 ANOS E ACIMA - MASCULINO,14,bf55f6cbb1ca356ee48c13b6a29b470228dcb91a,8d2e0d9a9ada6c0f6aeca6d3ccd03a1f25be6e45,222,2,102,M,64,SA Run,02:11:03.384
21KM,21KM - 60 ANOS E ACIMA - MASCULINO,15,5cd0e42828a14c7d2bc0220bea764da5065cd220,e000f1ec29b7af7d18d97a0d398dd24c9e262e8a,256,4,121,M,60,PÉ DURO,02:52:30.557
21KM,21KM - ATE 59 ANOS - FEMININO,16,428dd84b67b74ccc18a293861811a8521521a1ba,cbc64ac0a92e5348e410e05cf8c26b9c2e7ec12f,263,19,140,F,28,BOA FORMA,02:55:23.468
21KM,21KM - ATE 59 ANOS - MASCULINO,17,76a731503693bca9ba391990064557d8a284ddef,f2610daab1d7ba40db785f9ad4065e4eec58b127,261,35,123,M,30,BOA FORMA,02:55:23.127
21KM,21KM - ATE 59 ANOS - FEMININO,18,ecf38d164143490c6853aed9fbb2866af7d9a58c,d6fc84b50b1c2651c6c06d39709f74db0daa637e,262,18,139,F,30,BOA FORMA,02:55:23.353
21KM,21KM - ATE 59 ANOS - MASCULINO,19,365f6b31efca4f4ea5984d03dc6301890f82120f,1ba26b342517c06ff92cde72af6315f22d91b6e9,210,12,96,M,52,BOA FORMA,02:00:29.507
21KM,21KM - ATE 59 ANOS - MASCULINO,20,b330a6febcddf887919e3a0df1d1ca347694108e,08edc61e4f9cabbe0594fb6fc513765739fd0ade,226,20,106,M,51,BOA FORMA,02:18:23.431
21KM,21KM - ATE 59 ANOS - MASCULINO,21,33820438384ac5eb79c02324b9530d384220f2dd,f544425d68304bc7f8496de91642b46708c6fa4f,233,23,109,M,52,Studio S.A.,02:24:35.536
21KM,21KM - ATE 59 ANOS - FEMININO,24,b491318f5adf016a3b29f2d0acf8cf5400cbb13b,cbc6296c4bc8133ed1df36cc6cb37acf76fe2b04,271,21,142,F,20,Equipe Boa Forma,03:17:41.785
21KM,21KM - ATE 59 ANOS - MASCULINO,26,556ae6724562649264a629ecb5cb0ad2153bed79,be8fa76571a63c6e7955772b8322c6672fdead4e,190,9,90,M,26,Free runners,01:53:20.955
21KM,21KM - ATE 59 ANOS - FEMININO,27,9a477605c27d80290c8c95f28de67ccb4852421d,b9cbe46c6dc07d38db013b62703fed953698923f,231,3,124,F,41,Percurso Livre,02:21:38.163
21KM,21KM - ATE 59 ANOS - MASCULINO,28,2b889de0e672e3e0a1705fe8e318e31d2bb14a66,dea561ea80a0196442fd757044fb6a70b32928a8,158,3,79,M,31,Amams,01:38:48.388
