race,category,bib,name,id,place,catPlace,sexPlace,sex,age,team,netTime
10K,10K - Geral Masculino,1,9d081063cfcd687062a1bf705fa9cdf04c7a9c48,32f1faf20b0755cb86df42f989bf6d9b65df6877,190,82,96,M,,,01:26:37.898
10K,10K - Geral Feminino,2,bf1b8d00e028a8416618f37296cd3ceaa6315e38,de4dc6e3b7057346fe8370629b10adfb605106d1,197,83,96,F,,,01:30:00.525
10K,10K - Geral Masculino,3,b4093879d910e1bd8a1db97d243773b7a667fc73,492b35ebacc731f49cc7083d8627ab956bc7c423,166,74,87,M,,,01:20:27.327
10K,10K - Master: acima de 50 anos Feminino,5,dfec0fe912dbf1d3b76fb22467d2c62e53a285c0,f4edad5cbe7673f32d3278a032209263a59af2f9,209,17,105,F,,,01:35:17.325
10K,10K - Geral Feminino,7,34c39f39e1743a4534ec14778e9de934d426a101,588b3de50c25d845b360080ad5efd001c0836525,224,97,116,F,,,01:53:44.841
10K,10K - Geral Masculino,8,615b2bbce98f532e3f6b6409bcf189723d42f834,a9fe5438d3eaf7591b5fd09b6e0537f7adfeb050,219,91,107,M,,,01:46:04.346
10K,10K - Geral Masculino,9,54ac423c18674033b553c27d618d92f14098b25e,9f439df23938788e1c3750593dbd7515317aff87,110,57,65,M,,,01:08:10.651
10K,10K - Geral Feminino,10,18dcf52f3702415edfb77fe70538f6ca31d983d0,d94a930bdc9f1b60f43658b3e313645eaf7f8311,50,17,17,F,,,00:58:02.564
10K,10K - Geral Feminino,12,cefd4cadd2014362655b9fee949123e18451387a,60353b3b0a70c6148007bbba785a548afed8317e,79,31,34,F,,,01:02:29.794
10K,10K - Geral Feminino,13,97d742da1cbec608e2695d91d24376b2b7ca04ab,6e0a16aa916d85f7d3a460a2487a246119e9e85c,51,18,18,F,,,00:58:05.692
10K,10K - Geral Masculino,14,d5466c7bc23aae4b169111ae0e637d248abcde27,096939c0972ac0b79630392ec41ebf870e85a144,53,31,34,M,,,00:58:09.495
10K,10K - Geral Feminino,17,c2b93c619af6ca7d9f24fb0fc4937cde4b74beb9,1eff18a3d403d240e27de3deab6894c6a3f8e1bf,181,79,89,F,,,01:25:55.214
10K,10K - Geral Feminino,20,8a8a5e4f581a6f392880c40c4a1179e0e958480a,a2e5809584c0cc68e2ace3a0f47521ec4f105729,27,7,7,F,,,00:50:47.274
10K,10K - Geral Feminino,21,4e44cb0a7ee7fe5e215a9c85e66d107998cabf5d,e85dd4557c68bcbe4b2ed28138c867afd320b120,157,67,75,F,,,01:18:18.502
10K,10K - Master: acima de 50 anos Feminino,22,65b77f5d290b76521f1e2a657e299b4b2ae67886,6cc98b2a8ee250aca8e19583c4f49e2b69c54250,114,4,48,F,,,01:08:48.091
10K,10K - Geral Masculino,23,114c2de734d4429624badf4e2200786239c6fcee,c9dd9d013e28b265ea31d37d473ffd0896fdaeea,84,44,49,M,,,01:03:34.212
